Country,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
Trinidad and Tobago,2018,1504707,18804.0,97341,298968,496580,1060132,1205626,1147212,19154.0,78537.0,102127,99500,97305,217046,273591,204296,189861,137183,61989,20522,3833,113.0
Tunisia,2018,11933040,211889.0,1082450,2965974,4655160,8001144,8966826,8481110,215858.0,870561.0,1005457,878067,805840,1850840,1912810,1598071,1338978,844871,434362,162890,18164,240.0
Turkey,2018,82809304,1381659.0,6992744,19904280,33495816,56599990,62902664,58991960,1413517.0,5611085.0,6547138,6364397,6630857,13797611,13167847,11215010,8642879,5492184,2865708,981508,109062,2361.0
Turkmenistan,2018,6065072,141379.0,713380,1882225,2908751,3916907,4182837,3890967,142366.0,572001.0,645415,523430,492058,1099492,915403,664928,554093,312714,103434,37869,2846,10.0
Turks and Caicos Islands,2018,41516,530.0,2436,7166,12474,30416,34349,32833,513.0,1906.0,2295,2435,2563,5602,7570,7320,5525,3254,1560,795,160,1.0
Tuvalu,2018,10883,249.0,1202,3426,5332,6836,7457,6883,241.0,953.0,1203,1021,960,1883,1384,979,1206,703,254,79,9,0.0
Uganda,2018,41515400,1514008.0,7169760,19412680,28582232,21429192,22102644,19011812,1461364.0,5655752.0,6481905,5761014,4984039,7499551,4259985,2644286,1560873,819604,270929,59411,3967,76.0
Ukraine,2018,44446950,367537.0,2143461,6870285,11193606,30190988,37573724,36424172,399289.0,1775924.0,2509427,2217397,1940214,5520228,7289892,6288230,6247219,5415682,3052776,1581819,237665,2941.0
United Arab Emirates,2018,9140172,96598.0,493662,1328009,2619959,7700680,7812123,7604998,96607.0,397064.0,491811,342536,415171,2251456,2924139,1517359,505424,128768,41335,25857,2614,40.0
United Kingdom,2018,66432996,745833.0,3911082,11897055,19755896,42364000,54522400,52373040,772559.0,3165249.0,4133614,3852359,3679368,8706525,8822448,8516810,8958777,7090638,5470232,2702100,575501,13543.0
United States,2018,332140030,3884966.0,20021464,62811076,106557360,218187040,269253400,256203520,3959661.0,16136498.0,20824568,21965044,21769562,45411656,44593664,41885420,43926260,37408200,22114840,9968600,2175199,75558.0
United States Virgin Islands,2018,101377,1256.0,6495,19610,29915,62720,81762,78576,1281.0,5239.0,7003,6112,5172,10392,11621,13258,15166,13569,9355,2818,411,5.0
Upper-middle-income countries,2018,2487462700,33428184.0,173955870,512491740,844009600,1713193600,1974872300,1878671400,35006068.0,140527700.0,174570340,163965520,161140160,370469800,381288900,361396740,311212860,229029200,109629790,44869036,5835871,98539.0
Uruguay,2018,3427044,41154.0,227254,702227,1212309,2209721,2722166,2574141,44420.0,186100.0,234956,240017,249185,510809,448570,438411,394094,310096,217324,120785,32892,2651.0
Uzbekistan,2018,32449578,744288.0,3548796,9438977,14990824,21507446,23010558,21472450,715539.0,2804508.0,3161548,2728633,2583417,6075742,5184824,3734136,2932085,1650638,596661,235055,18001,42.0
Vanuatu,2018,297307,8986.0,44164,118457,172436,167844,178844,161664,8915.0,35178.0,40871,33422,27799,51535,38636,26219,17744,10046,4466,2103,296,6.0
Venezuela,2018,29825652,533226.0,2749950,8469721,13495333,19204692,21355872,19727538,545300.0,2216724.0,2859826,2859945,2653214,4642258,4220714,3624927,2944749,1931120,993798,324508,20583,60.0
Vietnam,2018,94914330,1487172.0,7525360,21847120,36178590,65704216,73061790,68891280,1495531.0,6038188.0,7290955,7030804,6879217,15745344,15626364,13090386,10204143,7097036,2861087,1344339,213876,5414.0
Wallis and Futuna,2018,11840,151.0,839,2993,4625,7453,8847,8172,163.0,688.0,1022,1132,1009,1237,1390,1804,1420,1086,642,230,29,0.0
Western Sahara,2018,532011,9379.0,46674,134586,210944,371193,397409,374613,9380.0,37295.0,46545,41367,37710,85369,104976,75638,49645,30267,11228,2346,230,16.0
World,2018,7683790000,137690030.0,688660400,2001436500,3209171200,4992920600,5681877500,5312115700,138376850.0,550970400.0,674324740,638451460,611398340,1204281300,1114043900,958684500,788847800,566538940,295304100,123199544,19578904,475921.0
Yemen,2018,30790514,951199.0,4594792,12568809,19054936,17376284,18221696,16172714,930540.0,3643593.0,4194048,3779969,3357767,5957212,4060882,2261942,1313126,750973,408348,104938,6509,8.0
Zambia,2018,17835898,615122.0,2936306,7936289,11546422,9597503,9899554,8695551,598085.0,2321184.0,2675064,2324919,1945044,3098392,2252525,1380638,718796,333006,133593,34321,3239,54.0
Zimbabwe,2018,15052191,466524.0,2283576,6291632,9385132,8264833,8760331,7689502,457587.0,1817052.0,2156068,1851988,1732035,2474502,2058928,1155537,585529,476214,208587,59700,9299,228.0
